Indicator_type,Data,Note
Description,IOCs Variant from REvil, Thanos/Hakbit,

sha256,52f7f9e8369a3e89899d40e89766c9642b137b25bfd58a2b564dac67a40445f3,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,8a4a038a965ba42a0442d44abf25e4d21f5049d4a4a8aa9cb6691ec4282814a1,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,27ba35dbeb5324bd780ae6a95c5aae93fcb47c5aa8f48b1c21f83000a55de2da,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,2d3d1b83067859ebb118ff1a99ac098806b65f566df094fad9a4debef4da911d,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,f4773540eb06fbde9a23f03424b3722999d0e6efabf5009c94c1bb0911626ada,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,b3b1cfa71b1cc572dace69e0996d537f41632ec4bab5b1f376d66aa765928b5f,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,67c29db79904510822a97c5e887606676c5cf77f5c31d60420d1d0ce9403daa3,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,8d268be58a27d2c980b807ffe703ea28b0fd0cd1ba2e455902faebe9ec17c52e,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,d7f7ea6cb92e1f01e815007fdcdf2455680e739077aff7e3eaf51311cf3388a5,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,1541035242743f18ffafa1ee1f466fdc55ccd3e229313f0ca4789b54519fa91a,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,50322b73a999e857fe17ba1a83503b4804f928eb8a7bf3d132f83451db5cb9d9,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,02665fcf9c0ddfb2cd3e04d254f60c5a4453947f7c3df5480316a040c0c8686f,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,81adeafca40ff68bf8d561e4f873416338017b9af2fd63d785c33bdc3c843b4a,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,f90d4b7491d9f365748dbc3d2379ab20520421ab57790e9a934bb5cf2ecb2404,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,3a3b3c1a81a2c00fcbe9a0c0f6a65a5525e02746cae5072e5a2b47d80dcab257,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,f5fb7fa5231c18f0951c755c4cb0ec07b0889b5e320f42213cbf6bbbe499ad31,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,e01613395db5fe07f2021adad07a3b5348c9657fe579ecec7d3b5d4ac25764d3,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,9bf0633f41d2962ba5e2895ece2ef9fa7b546ada311ca30f330f0d261a7fb184,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,7ea4ed64bd51eb40865c5ede7da7cf980a464db8087d95fec5a83885352c88b2,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,cb95eea8480812122734dc639636c414308411b1da60ed2b59017561579c669b,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,21dd66ef4b2d0bf877fd6386c3dbc43457f982f5f67eed23c8b7c34234cda448,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,121c11c4054bce9730e87051eb734241b787ed4b5523db2c1226c29776501717,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,960cfd80c8b2719c7236194de9171e80511819edfb62bd17f359d2609135232c,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,8cd3ca78cf49a9b54e8a874398be2a16ad66600514d46494e90a80306d6b762e,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,c5bd6f40ff4a6079fe84e9a0146ff4e9060a3d09450b315b49d4815fdc7f18f0,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,6a5090762c6058bc223e37e89f53832faad80995e3c5ed7e59ed9f5a5e604e47,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,5e088eb0eb669be278eeef2204005e705c88f5a215e985b53dc42b4f9853b4e4,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,75eac37f0619ed3f563a4e5abd1ece1acdf161b2931c20398e1a056ec5df4d27,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,9fbdb3ed65c55b35114b85995182763417c52df6775942f98b30e54684c94224,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,1f7dfc5cb2e65846555688a879e8f53c196cf6278fad79ad124144f2b3705ac2,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,dcd725c415cebc7df170edf49af18d6f86e76ef75185737de5959405f4aecc56,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,a7e267f0726825d7f294df6b421cce93a46bb8381b724f57052045c4782efefa,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,8d3fd3db69a101f8f018b1b65cd6ec7363f2e0311eaac31cd1cb0db6dde03be4,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,7949363e43f2f1a9d7756917943ecdb865fb660f441774a59aef8647fab262fe,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,f89ec05e48c8e6dfe93fd7b1be118e5e81d52c8e33f2a451e9f8eada59bb25b9,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,5adac779cfe31d674d59f4626585d6652e9eed4cd1bcabe7a77b89d207c15a63,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,10481fa4c8932586715450d3f50cdbf06cbced4051880d2729b37c08445654c2,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,68744f4b94d59a7d27801664fb2d8c0c5b18a55aaa0455068f091c7bbe420f29,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,2ad3bb8e1a4cfc9be16293273191ede98fd4d0bcf0dc1442db45c13dfe8fa245,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,ee3dfbadb4996e752c1f02bab0c2af005467f8653cdfe731f8848992d0beb85b,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,69c56d12ed7024696936fb69b4c6bee58174a275cb53fa966646a0b092d9626b,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,b21e18b6e24d538e0eef44625c09537232c2f0cc1a0bf79e61f43e1ef37a4b54,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,8039d4520fd3de33c59ee5ab825d2320768c1471ed7be8ae777c1875d8ed9b4c,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,b23aeb8a9bcb0747a518da4cf2f5c697aa0c10d4d6be09e15a301fe97e56ef98,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,763768c4fdc40827802e91fd1d03ade3fc358a97b9ba33db29dbefd4700613ac,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,6b1cfbd302cfa895cb0689943c3aebb45157f39df2c3c308f40b0f44f1c14dd5,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
